127.0.0.1, 2011-01-07 22:36:02, GET, /, HTTP/1.1, 200, 1.032774
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/css/handheld.css, HTTP/1.1, 200, 0.000560
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/js/modernizr-1.6.min.js, HTTP/1.1, 200, 0.000502
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/favicon.ico, HTTP/1.1, 404, 0.000487
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/js/jquery.js, HTTP/1.1, 200, 0.000859
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/css/calendar.css, HTTP/1.1, 200, 0.000994
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/js/calendar.js, HTTP/1.1, 200, 0.000793
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/css/base.css, HTTP/1.1, 200, 0.000494
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/css/superfish.css, HTTP/1.1, 200, 0.000485
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/images/poweredby.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/js/superfish.js, HTTP/1.1, 200, 0.000466
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/images/logo.png, HTTP/1.1, 200, 0.000530
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000540
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/images/shadow.png, HTTP/1.1, 200, 0.000517
127.0.0.1, 2011-01-07 22:36:02, GET, /moderatool/static/favicon.ico, HTTP/1.1, 404, 0.000476
127.0.0.1, 2011-01-07 22:36:05, GET, /moderatool/static/favicon.ico, HTTP/1.1, 404, 0.000720
127.0.0.1, 2011-01-07 22:45:35, GET, /, HTTP/1.1, 200, 0.032645
127.0.0.1, 2011-01-07 22:45:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000481
127.0.0.1, 2011-01-07 22:45:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000762
127.0.0.1, 2011-01-07 22:56:31, GET, /, HTTP/1.1, 200, 0.033263
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/css/handheld.css, HTTP/1.1, 304, 0.000529
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/js/modernizr-1.6.min.js, HTTP/1.1, 304, 0.000466
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/js/jquery.js, HTTP/1.1, 304, 0.000507
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/css/calendar.css, HTTP/1.1, 304, 0.000457
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/js/calendar.js, HTTP/1.1, 304, 0.000662
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/css/base.css, HTTP/1.1, 304, 0.000435
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/css/superfish.css, HTTP/1.1, 304, 0.000455
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/js/superfish.js, HTTP/1.1, 304, 0.000493
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/images/poweredby.png, HTTP/1.1, 304, 0.000515
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/images/logo.png, HTTP/1.1, 304, 0.000483
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000510
127.0.0.1, 2011-01-07 22:56:32, GET, /moderatool/static/images/shadow.png, HTTP/1.1, 304, 0.000508
127.0.0.1, 2011-01-07 22:57:12, GET, /, HTTP/1.1, 200, 0.157671
127.0.0.1, 2011-01-07 22:57:12, GET, /moderatool/static/css/handheld.css, HTTP/1.1, 200, 0.000622
127.0.0.1, 2011-01-07 22:57:12, GET, /moderatool/static/js/modernizr-1.6.min.js, HTTP/1.1, 200, 0.001512
127.0.0.1, 2011-01-07 22:57:12, GET, /moderatool/static/css/calendar.css, HTTP/1.1, 200, 0.000472
127.0.0.1, 2011-01-07 22:57:12, GET, /moderatool/static/js/jquery.js, HTTP/1.1, 200, 0.000539
127.0.0.1, 2011-01-07 22:57:12, GET, /moderatool/static/js/calendar.js, HTTP/1.1, 200, 0.000484
127.0.0.1, 2011-01-07 22:57:12, GET, /moderatool/static/css/base.css, HTTP/1.1, 200, 0.000495
127.0.0.1, 2011-01-07 22:57:12, GET, /moderatool/static/css/superfish.css, HTTP/1.1, 200, 0.000484
127.0.0.1, 2011-01-07 22:57:12, GET, /moderatool/static/js/superfish.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2011-01-07 22:57:12, GET, /moderatool/static/images/poweredby.png, HTTP/1.1, 200, 0.000564
127.0.0.1, 2011-01-07 22:57:12, GET, /moderatool/static/images/logo.png, HTTP/1.1, 200, 0.000498
